timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,future_return,target
2021-01-01 00:00:00+00:00,736.42,739.0,729.33,734.07,27932.69884,20479903.4760359,22671,15020.61663,11015918.9722147,0.008037380631275015,2
2021-01-01 01:00:00+00:00,734.08,749.0,733.37,748.28,52336.18779,38899618.8530135,41712,27395.9027,20362373.9335029,-0.014566739723098299,0
2021-01-01 02:00:00+00:00,748.27,749.0,742.27,744.06,33019.501,24606726.4383672,19566,17721.26696,13207123.3520841,-0.01880224713060763,0
2021-01-01 03:00:00+00:00,744.06,747.23,743.1,744.82,17604.80859,13119088.4004137,12230,9499.7492,7079926.3108748,-0.014956633817566845,0
2021-01-01 04:00:00+00:00,744.87,747.09,739.3,742.29,18794.15424,13980190.9714686,13626,10133.74211,7539500.2868721,-0.007382559377062892,1
2021-01-01 05:00:00+00:00,742.34,743.23,739.5,740.65,14948.26447,11079350.2390266,11032,7733.14162,5731472.4157925,-0.002430297711469631,1
2021-01-01 06:00:00+00:00,740.72,743.25,737.04,739.97,17106.99495,12658465.3899019,12041,7803.15217,5774894.281794,-0.009162533616227653,0
2021-01-01 07:00:00+00:00,739.87,740.51,734.4,737.38,21624.68945,15934710.9369215,19976,10407.77312,7670628.2297335,0.0036616127369877294,1
2021-01-01 08:00:00+00:00,737.37,738.48,725.1,730.07,52992.04892,38713139.8352475,38433,23184.47715,16937333.0679656,0.010861972139657672,2
2021-01-01 09:00:00+00:00,730.07,734.77,728.77,733.68,22836.46973,16732025.0257024,27347,12351.59569,9050056.5984665,0.0023307163886163718,1
2021-01-01 10:00:00+00:00,733.69,738.87,733.27,736.81,22895.59711,16854648.5651741,15317,12317.08875,9067175.1701353,-0.0013300579525249434,1
2021-01-01 11:00:00+00:00,736.82,741.76,736.11,738.85,29384.09871,21714429.1119129,16820,14290.33498,10562649.866081,-0.014766190701766213,0
2021-01-01 12:00:00+00:00,738.85,743.33,732.12,733.19,50190.47228,37052817.5043096,28991,26605.75907,19648257.0722184,-0.011715926294684875,0
2021-01-01 13:00:00+00:00,733.19,741.99,733.0,740.08,23543.56362,17364322.3754941,17334,13975.81456,10307816.1509774,-0.019916765755053523,0
2021-01-01 14:00:00+00:00,740.08,742.67,736.46,738.0,22098.37395,16337048.3578516,17075,12812.55607,9473455.7757508,-0.011544715447154408,0
2021-01-01 15:00:00+00:00,738.01,740.0,733.5,735.39,25671.61199,18909549.3415675,20847,12484.28998,9199052.1961992,-0.009736330382518088,0
2021-01-01 16:00:00+00:00,735.39,737.73,733.01,735.83,22249.34205,16368621.7550852,15461,12220.1753,8990872.705043,-0.009417936208091615,0
2021-01-01 17:00:00+00:00,735.76,736.45,726.57,727.94,40914.26505,29902944.3557101,24734,17435.35692,12744050.3657862,0.0013325274061046777,1
2021-01-01 18:00:00+00:00,727.94,731.8,714.29,724.6,66427.75355,48068143.6005898,41949,28442.33941,20584419.0482298,-0.006486337289539068,1
2021-01-01 19:00:00+00:00,724.57,728.28,720.95,725.34,26866.35862,19458522.3046609,18323,13879.19268,10055377.2623967,0.005569801748145586,1
2021-01-01 20:00:00+00:00,725.34,730.71,722.5,729.48,22422.29118,16308761.6073057,16358,11908.10461,8663259.6611729,-5.483358008440131e-05,1
2021-01-01 21:00:00+00:00,729.48,730.61,726.69,728.23,14582.15316,10627095.6000123,10537,7484.03192,5454580.5253864,0.002966095876302699,1
2021-01-01 22:00:00+00:00,728.23,731.97,725.65,728.9,14614.20353,10652530.273984,12435,7047.86828,5137177.0008043,0.0007545616682673728,1
2021-01-01 23:00:00+00:00,728.97,730.58,727.65,728.91,14058.19051,10249389.4576508,8856,6834.2017,4983003.6892018,0.004225487371554815,1
2021-01-02 00:00:00+00:00,728.91,730.66,716.26,719.9,46190.17553,33359504.1451891,28029,23679.8435,17108836.0168826,0.023808862341991865,2
2021-01-02 01:00:00+00:00,719.9,731.75,714.91,729.38,37985.46001,27507408.3916367,24320,20260.90589,14682081.3104943,0.007869697551345034,2
2021-01-02 02:00:00+00:00,729.39,734.4,729.05,729.44,21870.2522,16001652.5005198,13551,11126.51792,8141055.4148816,0.006032024566790861,1
2021-01-02 03:00:00+00:00,729.45,731.96,728.4,730.39,13138.56186,9595201.6296546,9265,6392.76908,4668395.1619394,-0.006818275168060883,1
2021-01-02 04:00:00+00:00,730.39,730.67,726.26,729.45,13117.64933,9555414.0479076,9531,6253.16844,4554983.636992,-0.001343477962848727,1
2021-01-02 05:00:00+00:00,729.45,733.4,729.22,731.99,19342.91315,14151384.0382694,11683,9900.66983,7243827.1559902,-0.0031284580390441574,1
2021-01-02 06:00:00+00:00,731.99,740.49,730.53,737.04,41590.31856,30589103.9985002,21769,22929.76902,16871240.8236209,0.020812981656355145,2
2021-01-02 07:00:00+00:00,737.08,738.66,733.07,735.12,23887.39609,17572714.3654719,14900,11790.79438,8674254.9979503,0.04849548373054735,2
