epoch,train_loss,val_loss,accuracy,balanced_accuracy,f1_macro,precision_macro,recall_macro,lr
1,1.0563921049649536,1.0859520045193758,0.35779155254432754,0.3820551263942597,0.3574817254129689,0.4168351937379848,0.3820551263942597,0.001
2,1.0358971227770266,1.08267794305628,0.3608187977511893,0.3841653631221103,0.36115562114428207,0.4201206765509384,0.3841653631221103,0.001
3,1.0286885829782297,1.0769904494285583,0.3773965691220989,0.3964734192763471,0.3762234197886607,0.424665710874838,0.3964734192763471,0.001
4,1.0215869055906304,1.0833954496817155,0.37263946951131616,0.38947180724485414,0.3364604360564925,0.418655489613921,0.38947180724485414,0.001
5,1.0165447189873857,1.082601301236586,0.36817067896785355,0.3976202614258593,0.3649837024964991,0.43335052592516554,0.3976202614258593,0.001
6,1.0116390208952983,1.0849991625005548,0.3771082600547787,0.4011476480982756,0.3695283233459885,0.4306177307803724,0.4011476480982756,0.001
7,1.0049606870285608,1.082948712869124,0.37422516938157707,0.397765817223255,0.36668569635391446,0.42921886461988645,0.397765817223255,0.001
8,1.0001292403036426,1.0868625033985484,0.3661525154966124,0.3877771219266464,0.359275379431579,0.4195483475461486,0.3877771219266464,0.001
9,0.9956411438968342,1.0940364187413996,0.36168372495314977,0.3876667997505961,0.3559853165854783,0.4218622843130256,0.3876667997505961,0.001
10,0.9909848132623514,1.0871117505160246,0.36456681562635146,0.3868135532964154,0.36435662535680075,0.41956530539233405,0.3868135532964154,0.001
11,0.9870159239637051,1.0942072933370417,0.3599538705492288,0.38503743477216174,0.3549160856452976,0.42167884374599723,0.38503743477216174,0.001
12,0.981206426271808,1.0988602540709755,0.3622603430877901,0.39060983608677075,0.3596831594000663,0.4278101173929126,0.39060983608677075,0.001
13,0.9750337178999257,1.1027326573025096,0.3701888424390947,0.3929226223640872,0.36327620269409516,0.4230764217592564,0.3929226223640872,0.001
