epoch,train_loss,val_loss,accuracy,balanced_accuracy,f1_macro,precision_macro,recall_macro,lr
1,1.056097275183606,1.079462677782232,0.3700446879054346,0.38843581949188516,0.36174084860700556,0.40598779511692357,0.38843581949188516,0.001
2,1.0339733689670034,1.0840023560957475,0.3735043967132766,0.3896143541830626,0.35492208877169995,0.4102021076263096,0.3896143541830626,0.001
3,1.0265170241533061,1.0826087442311374,0.35750324347700735,0.3836355330228079,0.3517010580280287,0.4152485999931008,0.3836355330228079,0.001
4,1.0204084397775854,1.0848747611045837,0.3624044976214502,0.38604578020397584,0.35858106024960773,0.4144650298746238,0.38604578020397584,0.001
5,1.017323468749231,1.085851257497614,0.3615395704194897,0.3834171267038659,0.3418962053785193,0.41651274083545964,0.3834171267038659,0.001
6,1.0102619069367058,1.0845741835507479,0.3615395704194897,0.3861878485428627,0.3452378544850156,0.4220039350987328,0.3861878485428627,0.001
7,1.005378127804858,1.0887122468514876,0.37422516938157707,0.3965295937871563,0.3555938163656509,0.42433619074434475,0.3965295937871563,0.001
8,0.9993038851281871,1.0911799842661076,0.3573590889433473,0.38404428356732573,0.3501435398008754,0.419500043695542,0.38404428356732573,0.001
9,0.9955826067170607,1.0896632021123713,0.36298111575609054,0.3842369716801523,0.35179113280734103,0.4188393409755689,0.3842369716801523,0.001
10,0.9919172172018662,1.095774595303969,0.3605304886838691,0.38701489541510536,0.3545496905314433,0.4232677747036835,0.38701489541510536,0.001
11,0.9870713428546317,1.1036334948106246,0.3563500072077267,0.3811859332813901,0.3515450516312189,0.4210543454521747,0.3811859332813901,0.001
