epoch,train_loss,val_loss,accuracy,balanced_accuracy,f1_macro,precision_macro,recall_macro,lr
1,1.0560283606702632,1.0856793251904575,0.3622603430877901,0.3856590360310956,0.36152971073711715,0.41602023516717607,0.3856590360310956,0.001
2,1.0348084170827752,1.0795137145302511,0.3722070059103359,0.3923992181287737,0.37273458072260685,0.4204696354247163,0.3923992181287737,0.001
3,1.027412664513343,1.0772340427745473,0.37667579645379845,0.3943205823499924,0.3753422676191212,0.41963524199085506,0.3943205823499924,0.001
4,1.0205987220696309,1.0820823647759177,0.38013550526164047,0.3968011475369342,0.3373927173039399,0.42644491056870537,0.3968011475369342,0.001
5,1.0161156442325576,1.0836568008769643,0.370621306040075,0.3957678786723524,0.3621679845451106,0.43100122586981743,0.3957678786723524,0.001
6,1.0109198435021955,1.0867636463858865,0.3745134784488972,0.3965072743650561,0.3629208932425921,0.4257970638830633,0.3965072743650561,0.001
7,1.0053002478576931,1.081217424436049,0.37523425111719766,0.39752196323349204,0.36817275617159934,0.42702681825912125,0.39752196323349204,0.001
8,1.00030803374151,1.0866158496249805,0.37047715150641486,0.3913502899733336,0.35900333094628506,0.42043866457091816,0.3913502899733336,0.001
9,0.9949816898866133,1.1010276545177806,0.36110710681850944,0.38502948131215103,0.3548298262371297,0.4199425065889644,0.38502948131215103,0.001
10,0.9912051459546146,1.088109873641621,0.3710537696410552,0.3936160860573528,0.36942537687855387,0.42735851478126613,0.3936160860573528,0.001
11,0.9874289855655474,1.0924519777297974,0.36629667003027244,0.3921779516669674,0.3568722453052379,0.42753737403976544,0.3921779516669674,0.001
12,0.9805911209272302,1.0947749983180652,0.3596655614819086,0.38497284711693175,0.35597229105723177,0.420160457387365,0.38497284711693175,0.001
13,0.9764955281740121,1.0992364417422902,0.3649992792273317,0.38917835141574936,0.35878141247973794,0.4209942968269531,0.38917835141574936,0.001
