rank,trial_number,fold,best_val_f1,test_f1_macro,test_balanced_accuracy,test_accuracy
1,74,1,0.3645167125903754,0.35425446014495426,0.3626648432903981,0.3991929672863525
1,74,2,0.4025888281095155,0.38889547455694035,0.38963199379821606,0.42023346303501946
1,74,3,0.41236360085087825,0.38053590461069325,0.3908114738469502,0.3888168323965989
1,74,4,0.40400304139174986,0.3112126508130706,0.3662493603669244,0.3329009943795936
1,74,5,0.3799663477465501,0.3736645195545294,0.39660955845446,0.39890474131719267
2,21,1,0.3663134111267836,0.33814773698933126,0.36793249123946686,0.3422683383772878
2,21,2,0.3626409772845401,0.35633086271940667,0.39389720669759054,0.38506989479752124
2,21,3,0.4099628815883947,0.31223859806286386,0.38145876093464204,0.3448623720997262
2,21,4,0.4047992238583961,0.31877741899602713,0.3563889575240142,0.3206513906903012
2,21,5,0.37715888538919246,0.3613619990830696,0.3887969228807271,0.37209972618532927
3,72,1,0.3667319352108562,0.35095503720335586,0.38228652020286963,0.4033722438391699
3,72,2,0.3926464572178809,0.3722057104562982,0.39863408749897483,0.3857904597204208
3,72,3,0.40484460652247994,0.3651007929763302,0.3890694952296248,0.3656146418792333
3,72,4,0.41421668315896026,0.31537924616100516,0.36633305183492954,0.3277129269347168
3,72,5,0.37828762754144624,0.368341057768999,0.40337826794982384,0.3932843349185762
