rank,trial_number,fold,best_val_f1,test_f1_macro,test_balanced_accuracy,test_accuracy
1,21,1,0.3647312069628792,0.33896607967145304,0.3574399628638311,0.3455829370226257
1,21,2,0.397281192007736,0.38923165606884574,0.4051813865205014,0.4382475861075083
1,21,3,0.4038796818920734,0.33038403297883967,0.35811489903172955,0.3308834125954749
1,21,4,0.4109756244857586,0.3371646321429989,0.3668347827531364,0.3369361579478311
1,21,5,0.37156630130539514,0.36548080103247016,0.38910438111252654,0.3654705288946534
2,15,1,0.3751657326954578,0.36016479653752564,0.3633799346127075,0.383916990920882
2,15,2,0.4078133755986005,0.3682813980193367,0.39501268626413966,0.41360426574434356
2,15,3,0.4170709371161884,0.33890822949548527,0.37710987085568015,0.343565355238507
2,15,4,0.4120728054330321,0.32724317889851023,0.3761899464692637,0.32987462170341547
2,15,5,0.39561465882925867,0.35402160694271084,0.3777834882830451,0.3542297160974204
3,30,1,0.3715098007550091,0.3199179383624074,0.33053183954105353,0.32828937887303644
3,30,2,0.3702275780078124,0.3967340618199209,0.39758017177549987,0.42844790315607434
3,30,3,0.3961089972601359,0.3425595218579345,0.3764747655384113,0.3638852860642744
3,30,4,0.39954086182486176,0.3069310775981516,0.38121351014325516,0.3367920449632512
3,30,5,0.37931925014780893,0.3584906752106945,0.38779305336050207,0.3736849690157083
