rank,trial_number,fold,best_val_f1,test_f1_macro,test_balanced_accuracy,test_accuracy
1,21,1,0.36941919888661395,0.34819039603318885,0.37691828934015165,0.37800835855310566
1,21,2,0.38545462964548155,0.3525062230224513,0.36752215516384545,0.359706009511457
1,21,3,0.4040214535595193,0.33903738617795326,0.36782660286935465,0.3438535812076668
1,21,4,0.41875328381365523,0.34818319840126294,0.3808852054194484,0.3493298746217034
1,21,5,0.39117447331068983,0.38598647581936757,0.39826920591061965,0.39169909208819714
2,15,1,0.36513830554245685,0.37757103136360115,0.38164026231175335,0.39227554402651676
2,15,2,0.3996949879695271,0.38489471709575307,0.39202726163077406,0.4087044242686266
2,15,3,0.41057311804025226,0.3448147987148186,0.3735523804138287,0.34601527597636544
2,15,4,0.4194643772359612,0.33263827033823423,0.37416011407134314,0.3399625306240092
2,15,5,0.371725416036905,0.3528116767443649,0.3867830278827665,0.35667963683527887
3,30,1,0.36814600946909176,0.31572850153195725,0.3293624577541408,0.3231013114281597
3,30,2,0.38748987803664175,0.3640032528367437,0.3749802638603061,0.3981841763942931
3,30,3,0.40618856446451995,0.3499262580931666,0.3753214850043512,0.35437382908200027
3,30,4,0.4031147161233109,0.3071637153674276,0.36548053704817035,0.316183888168324
3,30,5,0.36993800513742486,0.3506879001452375,0.388625772874549,0.35120334342124226
