rank,trial_number,fold,best_val_f1,test_f1_macro,test_balanced_accuracy,test_accuracy
1,120,1,0.3681353343011205,0.36659083621601535,0.37912006793694,0.41461305663640297
1,120,2,0.3972446282980293,0.3776600600670524,0.38257507492003723,0.409713215160686
1,120,3,0.41204572724255817,0.3608455449700636,0.391533900694405,0.3664793197867128
1,120,4,0.40713893391450356,0.3317873629107944,0.3735030434356707,0.33621559302493154
1,120,5,0.3665964319874912,0.3244545573727551,0.36261131665129726,0.32929816976509585
2,111,1,0.3718671837173299,0.34333524286238576,0.35530042009872664,0.3987606283326128
2,111,2,0.39685421687218086,0.3793754078551404,0.3995187645240806,0.40928087620694625
2,111,3,0.40468912841739696,0.3562866342957632,0.37857653139745273,0.3749819858769275
2,111,4,0.41459913091417094,0.33121525657067585,0.3676386361379153,0.3329009943795936
2,111,5,0.38462233903145754,0.371074752010258,0.4015422485966172,0.3767113416918864
3,74,1,0.3721284343757372,0.3543230032548215,0.37666079745728537,0.3990488543017726
3,74,2,0.40074088450413203,0.3680451143185767,0.39371990184728517,0.41864822020464043
3,74,3,0.3901491130284538,0.37796086599350165,0.3929721039659586,0.4033722438391699
3,74,4,0.40974569498869773,0.3507436282822516,0.3750032158217796,0.3510592304366623
3,74,5,0.3902217226803902,0.37085367391894897,0.40415668281733885,0.37944948839890474
