rank,trial_number,test_f1_macro,test_balanced_accuracy,test_accuracy,order_by_test_f1
3,74,0.3798281484651563,0.3904826820179981,0.4003458711629918,1
1,120,0.3751136453225654,0.3941855082437917,0.3942931258106355,2
2,111,0.3712125848543928,0.3944296676103797,0.4071191814382476,3
