rank,trial_number,cv_score_from_optuna,test_f1_macro,test_balanced_accuracy,test_accuracy,test_precision_macro,test_recall_macro
1,21,0.3963765090422494,0.37170198288229467,0.38918431806685216,0.37397319498486814,0.4182297102863776,0.38918431806685216
2,15,0.3941217673633283,0.3795184687404285,0.3949633661722934,0.3829082000288226,0.4175553333306939,0.3949633661722934
3,30,0.3941126346328161,0.35434516677205247,0.3801776966077887,0.36849690157083154,0.4026408181216093,0.3801776966077887
