rank,trial_number,value,n_layers,hidden_dim_1,hidden_dim_2,dropout,activation,use_batchnorm,optimizer,lr,weight_decay,batch_size,scaler_type,clip_grad_norm,hidden_dim_3
1,120,0.39989535205887217,2,320,480,0.2992283616305302,leaky_relu,False,adam,0.0010680049554246888,0.00012517319970946182,32,standard,2.3150102103823738,
2,111,0.39971221814013685,3,320,416,0.23407998334182856,leaky_relu,False,adam,0.0006616656146685684,4.997260609659005e-06,256,standard,4.722953066581359,64.0
3,74,0.39750490758156753,2,320,352,0.38602540514996175,leaky_relu,False,adam,0.0017426803787583814,0.00018073848892979683,32,standard,2.32356923645467,
