number,value,state,params_activation,params_batch_size,params_clip_grad_norm,params_dropout,params_hidden_dim_1,params_hidden_dim_2,params_hidden_dim_3,params_hidden_dim_4,params_hidden_dim_5,params_lr,params_n_layers,params_optimizer,params_scaler_type,params_use_batchnorm,params_weight_decay
35,0.3707515879317697,PRUNED,relu,32,1.3483142229502865,0.16143925292818628,384,512,32.0,160.0,384.0,0.0005302654511013511,5,adam,standard,False,1.5188127239522235e-06
36,0.3956595054935444,PRUNED,leaky_relu,128,2.423147985385678,0.2912397586897326,448,384,64.0,,,0.0021781246434180606,3,adam,robust,False,1.079140212455221e-05
37,0.3684666417626483,PRUNED,relu,64,2.7530543523806563,0.18705384282761517,32,32,160.0,256.0,288.0,0.00016193478073866954,5,adamw,standard,True,5.412568564719592e-07
38,0.39127085565759284,COMPLETE,leaky_relu,32,2.0878106106360557,0.04273279907983832,192,192,192.0,64.0,,0.0009001561309853979,4,adam,robust,False,3.50665940658488e-05
39,0.3714671315266339,PRUNED,relu,256,1.709620786801972,0.11320757706352735,416,256,256.0,448.0,,0.0005899985661936781,4,adam,standard,True,0.00010317259297176901
40,0.3769848423576807,PRUNED,relu,128,1.1622398764549564,0.1471215012860887,96,320,128.0,224.0,448.0,1.9393415651803306e-05,5,adam,robust,False,4.853656389958632e-07
41,0.38286890615861124,PRUNED,gelu,32,3.0873269387876876,0.23027004492038827,288,480,64.0,,,9.112615516846493e-05,3,adamw,standard,False,4.186769871511586e-06
42,0.37483431916556154,PRUNED,leaky_relu,32,4.979451373416375,0.23111941572470251,352,448,,,,0.0011166200547049793,2,adam,standard,False,3.4848171981710234e-05
43,0.38831617634131305,PRUNED,leaky_relu,32,4.598701411120025,0.32006623221890185,352,512,,,,0.0033767822137414217,2,adam,standard,False,5.745759979199968e-05
44,0.39496713871666417,PRUNED,leaky_relu,32,3.85782497098672,0.26742838811630204,384,416,,,,0.0018061765106585595,2,adam,standard,False,9.517370119657454e-06
45,0.3907977192143175,COMPLETE,leaky_relu,32,2.627304321298181,0.21340974466085222,320,480,,,,0.00097761589908824,2,adam,standard,False,0.000291575464464654
46,0.36841299299201735,PRUNED,leaky_relu,256,0.765875159441078,0.17727441570978705,480,512,,,,0.0004695898229610704,2,adam,standard,False,2.1307000902312304e-05
47,0.37221884101279523,PRUNED,leaky_relu,64,4.5708805058184705,0.23654956343587524,256,448,288.0,,,0.00031799048703708507,3,adam,robust,True,8.766784382345652e-05
48,0.37579274482254976,PRUNED,relu,32,3.2227158340116406,0.03220437202590419,192,320,192.0,320.0,352.0,0.0015638883557597028,5,adamw,standard,False,1.8464947686850846e-06
49,0.3814182093040567,PRUNED,leaky_relu,128,2.9307781642864987,0.09488312700337956,416,384,224.0,,,5.3840213761226445e-05,3,adam,standard,False,0.00014516369743738526
50,0.3776033618118684,PRUNED,gelu,32,4.296355614199278,0.3308559674748399,352,128,96.0,96.0,,0.00020765775031436894,4,adamw,standard,False,2.718623607996099e-07
51,0.37392980659250735,PRUNED,leaky_relu,32,3.8168436731953825,0.19815526790643945,160,480,512.0,192.0,256.0,1.0021689812657703e-05,5,adam,robust,False,2.936456829318062e-06
52,0.3823186879650994,PRUNED,leaky_relu,128,1.9193743913704453,0.1687314130489282,512,512,416.0,192.0,,0.00011377963732553448,4,adam,robust,False,5.422318742206154e-07
