feature,mutual_info
quote_asset_volume,0.04620598899609041
rolling_return_std_6,0.04378230837262165
number_of_trades,0.04106032856986208
volume_std_24,0.03739891720408095
bb_width,0.03646895543803219
open,0.031817715393573476
upper_shadow,0.02521150958509044
macd,0.022125661158155063
return_24,0.019260846354492767
lower_shadow,0.01799461952397352
return_1,0.016209311605672738
return_1_lag_3,0.016142385827431216
return_1_lag_1,0.014042291831651177
return_12,0.013665912438886707
momentum_6,0.013336307638394995
return_6_lag_1,0.012840345949698628
rolling_return_kurt_48,0.011616242558945666
return_6_lag_3,0.011606762539907889
macd_hist,0.011375820043862728
return_1_lag_2,0.00989343192793557
rolling_return_skew_48,0.009008444459172038
is_weekend,0.008003157993669463
volume_zscore_24_lag_1,0.006811539773160291
dow_cos,0.0062944803154934
dow_sin,0.00613243758166826
volume_zscore_24,0.005881829247794679
bb_position,0.005058488667462058
hour_cos,0.0050121247531627056
rolling_return_skew_12,0.003930945151883858
rolling_return_skew_24,0.002771379043069011
rolling_return_skew_6,0.002713679001191016
volume_zscore_24_lag_2,0.0024781514247067538
volume_return,0.001751095152975335
volume_zscore_24_lag_3,0.00032523115832550076
rolling_return_kurt_24,8.118949961288813e-05
rolling_return_kurt_12,0.0
rolling_return_kurt_6,0.0
hour_sin,0.0
